,ID,Date,User,Tweet,Media,Hashtags
0,1449161836914380802,2021-10-15 23:54:40+00:00,IyerNat,"Hours after PM's warning, ISKCON temple vandalised in Bangladesh https://t.co/Hah0kekvl3",,
1,1449158191179345923,2021-10-15 23:40:11+00:00,Deepak88358749,Bangladesh Temple attacks: Delhi calls up; Hasina asks India to guard against any reaction https://t.co/wBWfP8HcuW,,
2,1449155782033895427,2021-10-15 23:30:37+00:00,doctor_nikumoni,"ISKCON temple &amp; devotees violently attacked in Noakhali, Bangladesh. Temple suffered significant damage &amp; the condition of a devotee remains critical.

We call on the Govt of Bangladesh to ensure the safety of all Hindus &amp; bring the perpetrators to justice.

@narendramodi",,
3,1449155642397188096,2021-10-15 23:30:03+00:00,Ganitamrita,"https://t.co/u7JkjL6mcQ while ignoring in the ""strongest possible terms"" the attacks on Hindu temples in Bangladesh?",,
4,1449154368763150337,2021-10-15 23:25:00+00:00,Anupbhatia7,"#BangladeshiHinduWantSafety 
And so Indian Muslims. Modi yogi shah anti Muslim tirades have already alienated nation in all Islamic countries.modi has endangered lives of Hindus in Islamic countries. Repercussion in bangladesh just start more will follow . For modihindus kissans",,['BangladeshiHinduWantSafety']
5,1449153403951763461,2021-10-15 23:21:10+00:00,nandkis09458351,Bangladesh Temple attacks: Delhi calls up; Hasina asks India to guard against any reaction https://t.co/JkNlj32V3k,,
6,1449153324834385921,2021-10-15 23:20:51+00:00,ThinkZingThing,"..B'deshi PM.. 
your dirty dark people and police all are involved with political patronage and you shed crocodile tears.. you ppl really need hard bashing from the Indian side like Israel.

Hours after PM's warning, ISKCON temple vandalised in Bangladesh https://t.co/UBO3FaeBA0",,
7,1449152390016471041,2021-10-15 23:17:08+00:00,sukans,Bangladesh Strengthens Security as Violence Targets Hindu Festival https://t.co/GbNU9sc2eo,,
8,1449152124718235649,2021-10-15 23:16:05+00:00,sameepshastri,Bangladesh Temple attacks: Delhi calls up; Hasina asks India to guard against any reaction https://t.co/jB3Y7MUUY0,,
9,1449150101415514114,2021-10-15 23:08:02+00:00,TopMostShop,#Taliban #war #sick Should #Bangladesh #Pakistan &amp; #Afghanistan's Muslim persecuted Hindus &amp; Christians allow #persecutors to #India? #Victims say NO. Indian #opposition &amp; West say 'you have to allow'! https://t.co/rrOK9wVuQy's https://t.co/UDsAcVODin https://t.co/xGgV0gnoDr,"[Photo(previewUrl='https://pbs.twimg.com/media/EMzHPXcXkAAelL2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EMzHPXcXkAAelL2?format=jpg&name=orig', altText=None)]","['Taliban', 'war', 'sick', 'Bangladesh', 'Pakistan', 'Afghanistan', 'persecutors', 'India', 'Victims', 'opposition']"
10,1449148994282614788,2021-10-15 23:03:38+00:00,Ravinder536R,"Hours after PM's warning, ISKCON temple vandalised in Bangladesh . 
Dr @Swamy39 

https://t.co/1enDYNoP3A",,
11,1449145482098401282,2021-10-15 22:49:41+00:00,ssaikuma,"50 years back in 1971 was Operation Searchlight, when the Hindu population of East Pakistan (now Bangladesh) plummeted 50% (from 18%-9%) in probably the fastest genocide in history.
The remaining 9% are unfinished business.",,
12,1449145201948172288,2021-10-15 22:48:34+00:00,sunilmotwani89,"This Is Happen Where Hindu Community Became Minoritie

There is No Difference Whether it's Islamic Pakistan or Bangladesh or Afganistan or Even Indian Kashmir.

The World Only Listen the Voice of those who have Show Strength
Not the Real Victims
@hrw @nytimes @Arzookazmi30 @WSJ",,
13,1449144734132412418,2021-10-15 22:46:43+00:00,harrisk1111,Unfortunately it will never happen. Really sad to see the condition of the temple and people suffered due to violence done by people of Bangladesh. A real shame. @bangladesh @iskcon @IskconInc,,
14,1449144491244343298,2021-10-15 22:45:45+00:00,iamsbr66,Honorable Prime Minister @narendramodi @PMOIndia  Don't You see the Hindus are craving for Help from Us ? Are the Hindu's of Bangladesh not our Brothers and sister? I will shame to call you my country's Prime Minister if you are not able to sort it out . Please Help them 🙏,,
15,1449139232287694852,2021-10-15 22:24:51+00:00,Kukri007,"ISKCON temple &amp; devotees were violently attacked today by a mob in Noakhali, Bangladesh. Temple suffered significant damage &amp; the condition of a devotee remains critical.

We call on the Govt of Bangladesh to ensure the safety of all Hindus &amp; bring the perpetrators to justice.",,
16,1449139078461464580,2021-10-15 22:24:14+00:00,ExDhimmi,"Isn't it time that a hateful, misogynist, supremacist, pedophile-founded death cult is outlawed?

Bangladesh Temple Attacks, Hostage Population Theory And Hindu-Muslim Power Asymmetry https://t.co/jzUNJEpzfL via @swarajyamag",,
17,1449135037203447809,2021-10-15 22:08:11+00:00,DevKuma59115588,"Protest.
Show the world in hashtags how are the peace loving Hindus of Bangladesh? And how many Hindus have to be oppressed?
#SaveHindus
#SaveHinduTemples
#We_want_justice
#save_minority_hindu
#HumanRightsViolations
.#I_Am_Feeling_unsafe_In_Bangladesh
#Save_The_Hindu_Of_Banglades https://t.co/Aa15Y1A3VU","[Photo(previewUrl='https://pbs.twimg.com/media/FBxcovvUcAI_VLh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FBxcovvUcAI_VLh?format=jpg&name=orig', altText=None)]","['SaveHindus', 'SaveHinduTemples', 'We_want_justice', 'save_minority_hindu', 'HumanRightsViolations', 'I_Am_Feeling_unsafe_In_Bangladesh', 'Save_The_Hindu_Of_Banglades']"
18,1449133235418587137,2021-10-15 22:01:01+00:00,NewsNCR2,"Puja pandals attacked in Bangladesh, PM Sheikh Hasina warned after vandalizing temples, understand the political meaning of Hindu population in the country https://t.co/2uwLAd51q5",,
19,1449131203446153219,2021-10-15 21:52:57+00:00,Lightlesslampp1,"Holy Quran Sharif, insulting  people of Hindu religion in Bangladesh,",,
